vehicle_id,vehicle_001
vin,
year,
make,
model,
color,
customer_or_insured,
notes,
final_route,RED - Likely Conventional Repair
average_confidence,75.73%
reason,"At least one panel flagged red, so the vehicle routes to conventional repair."

slot,filename,image_route,top_confidence,green_pdr,yellow_review,red_conventional,decision_reason
Roof,Roof_Photo 17.jpg,YELLOW - Manual Review Required,77.86%,1.61%,77.86%,20.53%,"Top class accepted (yellow_review, 77.86%)."
Left Roof Rail,Left_Roof_Rail_Photo 05.jpg,RED - Likely Conventional Repair,81.41%,0.04%,18.55%,81.41%,Red override triggered (81.41%).
Right Roof Rail,Right_Roof_Rail_Photo 07.jpg,RED - Likely Conventional Repair,99.68%,0.23%,0.09%,99.68%,Red override triggered (99.68%).
Hood,Hood_Photo 01.jpg,GREEN - PDR Candidate,65.80%,65.80%,0.02%,34.18%,"Top class accepted (green_pdr, 65.80%)."
Left Fender,Left_Fender_Photo 02.jpg,RED - Likely Conventional Repair,89.91%,9.94%,0.15%,89.91%,Red override triggered (89.91%).
Right Fender,Right_Fender_Right Fender.jpg,YELLOW - Manual Review Required,88.44%,4.68%,88.44%,6.88%,"Top class accepted (yellow_review, 88.44%)."
Decklid,Decklid_Photo 09.jpg,RED - Likely Conventional Repair,63.85%,26.70%,9.45%,63.85%,Red override triggered (63.85%).
Left Quarter,Left_Quarter_Left QP.jpg,GREEN - PDR Candidate,67.66%,67.66%,10.46%,21.87%,"Top class accepted (green_pdr, 67.66%)."
Right Quarter,Right_Quarter_Right QP.jpg,YELLOW - Manual Review Required,54.89%,54.89%,42.29%,2.82%,Confidence below yellow threshold (54.89%).
Left Rear Door,Left_Rear_Door_Photo 12.jpg,YELLOW - Manual Review Required,67.80%,0.01%,67.80%,32.20%,"Top class accepted (yellow_review, 67.80%)."
